npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
321,504,3215046282,Rock Roofing,265 W Lakeview Ave,Lake Mary,FL,32746,LAKE MARY,,RR-203
321,512,3215124633,407 Constructions Pro,3351 Whitestone Cir,Kissimmee,FL,34741,KISSIMMEE,,RR-102
321,521,3215212628,Home Pros Roofing and Contracting,1935 Rafton Rd,Apopka,FL,32703,APOPKA,,RR-164
321,521,3215212376,JM's #1 Roofing,,Ocoee,FL,34761,OCOEE,,RR-184
321,547,3215475092,United Roofing,,Orlando,FL,32859,Serving Orlando,,RR-040
321,614,3216149689,J & M Roofing & Construction,2019 Pirie Pl,Saint Cloud,FL,34769,ST CLOUD,,RR-210
321,626,3216260339,BFARR Contracting,3500 Aloma Ave,Winter Park,FL,32792,WINTER PARK,,RR-063
321,638,3216380655,3MG Roofing & Solar (line 2),1127 Solana Ave,Winter Park,FL,32789,WINTER PARK alt line,,RR-092
321,805,3218053316,Reliable Roof Repair,900 13th St,Saint Cloud,FL,34769,ST CLOUD,,RR-214
321,832,3218328341,Allman Roofing,1215 Wynn St,Sanford,FL,32773,SANFORD,,RR-141
321,895,3218954933,Fix My Roofs,1109 Eastern Ave,Saint Cloud,FL,34769,ST CLOUD,,RR-215
321,947,3219470250,Bobcat Roofing,2021 W Fairbanks Ave,Winter Park,FL,32789,WINTER PARK,,RR-061
321,972,3219722577,Speer Roofing & Construction,400 N New York Ave,Winter Park,FL,32789,WINTER PARK,,RR-056
352,227,3522273098,Veritas Roofers,5036 Dr Phillips Blvd Ste 287,Orlando,FL,32819,PRIORITY Dr Phillips Blvd,,RR-007
352,241,3522419677,Roof Control Services,936 10th St,Clermont,FL,34711,CLERMONT,,RR-124
352,242,3522425055,Comfort Seal Roof Systems,614 E Highway 50,Clermont,FL,34711,CLERMONT,,RR-133
352,243,3522437977,We Know Roofing,11525 Kingfisher Dr,Clermont,FL,34711,CLERMONT,,RR-136
